,First Rand,Investec Group,MTN Group,Aveng Limited
2000-01-04,647.3359985351562,,2325.0,326.1246032714844
2000-01-05,666.1538696289062,,2355.0,319.6452941894531
2000-01-06,652.60498046875,,2540.0,319.6452941894531
2000-01-07,654.8630981445312,,2750.0,319.6452941894531
2000-01-10,749.7053833007812,,2940.0,328.2843017578125
2000-01-11,748.9526977539062,,3000.0,332.6039123535156
2000-01-12,725.6185302734375,,3035.0,328.2843017578125
2000-01-13,715.0803833007812,,3270.0,328.2843017578125
2000-01-14,721.8549194335938,,3480.0,345.1304931640625
2000-01-17,712.8223266601562,,3710.0,345.5625
2000-01-18,706.0477905273438,,3825.0,350.31390380859375
2000-01-19,692.4990234375,,3730.0,352.04168701171875
2000-01-20,678.9500732421875,,3420.0,384.4382019042969
2000-01-21,700.026123046875,,3010.0,375.7991943359375
2000-01-24,703.7896728515625,,3050.0,369.31988525390625
2000-01-25,669.91748046875,,2845.0,358.52099609375
2000-01-26,636.0452270507812,,2775.0,360.6807861328125
2000-01-27,658.626708984375,,2830.0,356.3612976074219
2000-01-28,651.099609375,,2900.0,345.5625
2000-01-31,643.5723876953125,,2980.0,341.2428894042969
2000-02-01,654.8630981445312,,3140.0,349.8819885253906
2000-02-02,677.444580078125,,3340.0,371.4796142578125
2000-02-03,672.9282836914062,,3550.0,362.8406066894531
2000-02-04,640.5615234375,,3280.0,356.3612976074219
2000-02-07,658.626708984375,,3110.0,362.8406066894531
2000-02-08,669.91748046875,,3345.0,362.8406066894531
2000-02-09,658.626708984375,,3520.0,365.00030517578125
2000-02-10,658.626708984375,,3700.0,367.16009521484375
2000-02-11,662.3903198242188,,3855.0,375.7991943359375
2000-02-14,652.60498046875,,3800.0,371.4796142578125
2000-02-15,651.852294921875,,3610.0,377.9588928222656
2000-02-16,645.8305053710938,,3400.0,375.7991943359375
2000-02-17,637.5507202148438,,3700.0,367.16009521484375
2000-02-18,623.2490844726562,,4120.0,367.16009521484375
2000-02-21,622.4962768554688,,3810.0,365.00030517578125
2000-02-22,603.6784057617188,,3870.0,345.1304931640625
2000-02-23,605.1838989257812,,4180.0,356.3612976074219
2000-02-24,611.9583129882812,,4245.0,352.04168701171875
2000-02-25,603.6784057617188,,4180.0,352.04168701171875
2000-02-28,601.4202880859375,,3850.0,345.5625
2000-02-29,596.9039916992188,,3800.0,349.45001220703125
2000-03-01,579.5914916992188,,3890.0,340.8110046386719
2000-03-02,557.010009765625,,3765.0,321.80499267578125
2000-03-03,554.7518920898438,,3845.0,319.6452941894531
2000-03-06,557.010009765625,,3800.0,323.9648132324219
2000-03-07,549.48291015625,,3840.0,321.80499267578125
2000-03-08,574.322509765625,,3760.0,321.80499267578125
2000-03-09,560.7736206054688,,3810.0,323.9648132324219
2000-03-10,560.7736206054688,,4150.0,323.9648132324219
2000-03-13,560.7736206054688,,4190.0,313.1659851074219
2000-03-14,576.5806274414062,,4610.0,302.3670959472656
2000-03-15,555.5045776367188,,4850.0,302.3670959472656
